ISO 3166-1 Alpha 3-Codes,Country name,Country category,COD-AB URL
TGO,Togo,Preparedness,https://data.humdata.org/dataset/cod-ab-tgo
THA,Thailand,Preparedness,https://data.humdata.org/dataset/cod-ab-tha
TJK,Tajikistan,Preparedness,
TKL,Tokelau,Preparedness,
TLS,Timor-Leste,Preparedness,https://data.humdata.org/dataset/cod-ab-tls
TON,Tonga,Preparedness,https://data.humdata.org/dataset/cod-ab-ton
TTO,Trinidad and Tobago,Preparedness,https://data.humdata.org/dataset/cod-ab-tto
TUN,Tunisia,Preparedness,https://data.humdata.org/dataset/cod-ab-tun
TUR,Turkey,Operational,https://data.humdata.org/dataset/cod-ab-tur
TZA,United Republic of Tanzania,Preparedness,https://data.humdata.org/dataset/cod-ab-tza
UGA,Uganda,Preparedness,https://data.humdata.org/dataset/cod-ab-uga
UKR,Ukraine,Operational,https://data.humdata.org/dataset/cod-ab-ukr
URY,Uruguay,Preparedness,https://data.humdata.org/dataset/cod-ab-ury
UZB,Uzbekistan,Preparedness,https://data.humdata.org/dataset/cod-ab-uzb
VCT,Saint Vincent and The Grenadines,Preparedness,https://data.humdata.org/dataset/cod-ab-vct
VEN,Venezuela (Bolivarian Republic of),Operational,https://data.humdata.org/dataset/cod-ab-ven
VGB,British Virgin Islands,Preparedness,https://data.humdata.org/dataset/cod-ab-vgb
VIR,United States Virgin Islands,Preparedness,https://data.humdata.org/dataset/cod-ab-vir
VNM,Viet Nam,Preparedness,https://data.humdata.org/dataset/cod-ab-vnm
VUT,Vanuatu,Preparedness,https://data.humdata.org/dataset/cod-ab-vut
YEM,Yemen,Operational,https://data.humdata.org/dataset/cod-ab-yem
ZAF,South Africa,Preparedness,https://data.humdata.org/dataset/cod-ab-zaf
ZMB,Zambia,Preparedness,https://data.humdata.org/dataset/cod-ab-zmb
ZWE,Zimbabwe,Preparedness,https://data.humdata.org/dataset/cod-ab-zwe
